,production
2355,19875
2356,21122
2357,21963
2358,21758
2359,21223
2360,20731
2361,20348
2362,20330
2363,20723
2364,21069
2365,21201
2366,21476
2367,21751
2368,21417
2369,20708
2370,18790
2371,17005
2372,16622
2373,16403
2374,16602
2375,16950
2376,17364
2377,17731
2378,19164
2379,20911
2380,22044
2381,22971
2382,23341
2383,23219
2384,22301
2385,22440
2386,22828
2387,22794
2388,22824
2389,23216
2390,22383
2391,21878
2392,22116
2393,21489
2394,19205
2395,17218
2396,16328
2397,16216
2398,16405
2399,16849
2400,17100
2401,17611
2402,19322
2403,21068
2404,23158
2405,23582
2406,23480
2407,23704
2408,23229
2409,22576
2410,22342
2411,22565
2412,22604
2413,22458
2414,22212
2415,22148
2416,21570
2417,20857
2418,19021
2419,16947
2420,16145
2421,15919
2422,15953
2423,16724
2424,17204
2425,19203
2426,20901
2427,21833
2428,23068
2429,23856
2430,23463
2431,23327
2432,22732
2433,22160
2434,21789
2435,21664
2436,21229
2437,21235
2438,21316
2439,21499
2440,21470
2441,20693
2442,18653
2443,17047
2444,16039
2445,15919
2446,15978
2447,16357
2448,17397
2449,18866
2450,20563
2451,22240
2452,23039
2453,23561
2454,23719
2455,23557
2456,22754
2457,22969
2458,23003
2459,22739
2460,22031
2461,21760
2462,21249
2463,21362
2464,21381
2465,21472
2466,19940
2467,17404
2468,16361
2469,16291
2470,16343
2471,16484
2472,17375
2473,19564
2474,20574
2475,21352
2476,22419
2477,22954
2478,22808
2479,22663
2480,21409
2481,20320
2482,20194
2483,20223
2484,21424
2485,21616
2486,20246
2487,19563
2488,18859
2489,17335
2490,16483
2491,15983
2492,15711
2493,15817
2494,16331
2495,16963
2496,18301
2497,19285
